loc_branchid,swiq_location_id
99944-99568,5adfb3bf15ae659107fd7e1f
100552-99568,5adfb417e83b493c32e52a47
100553-99568,5adfb417e83b493c32e52a4a
108635-99568,5adfb418b786cdc21713a14c
115079-99568,5adfb4180b68816c46da94c7
75361-75632,5adfb554abeae286738eb0ae
222-114667,5adfb555e83b493c32e52a6c
159-3302,5ae14658455a85182013bc92
10020-13324,5ae146665109bc2432e2844b
10782-13939,5ae14667d22327b96dfb7ccb
11775-14843,5ae146681b8a54d344bcffb5
13519-16465,5ae1466867f977df5a39e893
22452-24583,5ae1466a94d1705548a4ef32
23866-25946,5ae1466acadbb13b143c2bc3
27319-29325,5ae1466a99775e020480915c
33740-35500,5ae1466ad22327b96dfb7cce
34966-36622,5ae1466a5109bc2432e28454
35249-36889,5ae1466bcadbb13b143c2bc6
37479-38989,5ae1466c455a85182013bc95
37735-39237,5ae1466cd22327b96dfb7cd1
41621-42961,5ae1466dcadbb13b143c2bc9
44878-46010,5ae1466e67f977df5a39e899
44936-46067,5ae14671455a85182013bc98
45012-46141,5ae14671455a85182013bc9b
45031-46159,5ae1467294d1705548a4ef35
47227-48280,5ae1467294d1705548a4ef38
51451-52420,5ae146721b8a54d344bcffbe
53179-53814,5ae1467399775e0204809162
54046-54548,5ae146745109bc2432e28457
55953-56438,5ae146748814357f61bb750c
60489-60894,5ae1467694d1705548a4ef3e
001-67393,5ae1467799775e0204809165
70544-70862,5ae14677d22327b96dfb7cd7
73760-74054,5ae1467899775e0204809168
74466-74751,5ae146781b8a54d344bcffc4
76661-76919,5ae1467999775e020480916b
77220-77464,5ae14679455a85182013bca4
80132-80327,5ae1467a94d1705548a4ef44
80925-81042,5ae1467b8814357f61bb7512
82844-82927,5ae1467b9048582417548505
83182-83257,5ae1467b9048582417548503
83209-83284,5ae1467d94d1705548a4ef47
84155-84200,5ae1467d99775e020480916e
85616-85617,5ae1467d99775e0204809171
85808-85804,5ae1467e5109bc2432e2845a
85811-85807,5ae1467e67f977df5a39e89c
85822-85818,5ae1467ed22327b96dfb7cdd
85915-85905,5ae1467e99775e0204809174
86508-86483,5ae1468094d1705548a4ef4a
86872-86840,5ae146818814357f61bb7518
86996-86960,5ae146815109bc2432e2845d
89207-89108,5ae146815109bc2432e28460
89788-89678,5ae14681cadbb13b143c2bfa
90852-66280,5ae14682455a85182013bca7
91991-91843,5ae146821b8a54d344bcffc7
93040-92871,5ae14682455a85182013bcaa
93787-93602,5ae146835109bc2432e28466
94384-94168,5ae146839048582417548509
95048-94809,5ae146845109bc2432e28469
95183-94942,5ae14684455a85182013bcad
95306-95052,5ae1468594d1705548a4ef4d
95906-95633,5ae14685904858241754850c
96087-95813,5ae146865109bc2432e2846c
96349-96071,5ae1468699775e0204809180
96685-96399,5ae146865109bc2432e2846f
96713-96427,5ae146871b8a54d344bcffd0
96800-96399,5ae14688d22327b96dfb7ce0
96855-96556,5ae146885109bc2432e28472
97057-96756,5ae14726cadbb13b143c2c06
97422-97114,5ae14726904858241754851b
97473-97059,5ae147271b8a54d344bcffdc
97597-97059,5ae14728904858241754851e
97644-97329,5ae1472967f977df5a39e8a9
97661-97345,5ae1472ad22327b96dfb7cea
97665-97349,5ae1472a1b8a54d344bcffdf
97668-97352,5ae1472a67f977df5a39e8ac
98215-97886,5ae1472bd22327b96dfb7ced
98604-98257,5ae1472c1b8a54d344bcffe2
98743-98394,5ae1472c5109bc2432e2847b
99032-98673,5ae1472d455a85182013bcb5
99101-98742,5ae1472d5109bc2432e2847e
99138-98779,5ae1472e9048582417548521
99328-54176,5ae1473099775e020480918b
99497-99128,5ae147308814357f61bb7525
99570-99201,5ae14731455a85182013bcbb
10001-99229,5ae147318814357f61bb7528
99665-99292,5ae1473199775e020480918e
99721-97886,5ae14732455a85182013bcbe
99810-99435,5ae1473294d1705548a4ef5a
100183-97059,5ae147331b8a54d344bcffe8
100275-99890,5ae1473399775e0204809191
100306-97059,5ae14733cadbb13b143c2c0a
100862-100465,5ae1473699775e0204809194
100956-100557,5ae14736cadbb13b143c2c0d
101214-100810,5ae1473767f977df5a39e8cb
101279-97059,5ae147375109bc2432e28481
101322-100913,5ae1473767f977df5a39e8ce
101900-101477,5ae147385109bc2432e28484
101977-101554,5ae147391b8a54d344bcffee
102324-101895,5ae1473999775e0204809197
103491-102996,5ae147399048582417548525
103569-103068,5ae1473a94d1705548a4ef63
103618-103111,5ae1473ad22327b96dfb7cfa
103658-103151,5ae1473b8814357f61bb752f
103684-103172,5ae1473cd22327b96dfb7cfd
103807-29325,5ae1473ccadbb13b143c2c13
104468-103902,5ae1473d1b8a54d344bcfff4
104476-103851,5ae1473e5109bc2432e28487
104488-103921,5ae1473ecadbb13b143c2c16
104507-103940,5ae1473e9048582417548528
104565-103993,5ae1473f455a85182013bcc1
105078-104482,5ae147415109bc2432e2848a
105836-105201,5ae1474294d1705548a4ef66
106019-105380,5ae147439048582417548531
107219-106512,5ae1474567f977df5a39e8da
108338-107554,5ae1474a67f977df5a39e8e3
108345-107560,5ae1474b94d1705548a4ef6c
108453-98257,5ae1474b1b8a54d344bcfffa
108963-108150,5ae1474d8814357f61bb7538
109194-108380,5ae1474d455a85182013bccb
109278-101477,5ae1474e99775e02048091a1
109279-101477,5ae1474ecadbb13b143c2c22
109392-108570,5ae1474fd22327b96dfb7d0f
109396-108574,5ae1474f904858241754853c
